a-begging	moby_dick.txt:13783, moby_dick.txt:21528
a-belderin	dracula.txt:2641
a-blowin	dracula.txt:10747
a-callin	dracula.txt:5619
a-calling	moby_dick.txt:18225
a-chaffin	dracula.txt:5660
a-comin	dracula.txt:5561, dracula.txt:5629, dracula.txt:5545
a-gallopin	dracula.txt:5666
a-gettin	dracula.txt:5713
a-goin	dracula.txt:5556
a-going	moby_dick.txt:895
a-h-o-y	moby_dick.txt:7081
a-imitatin	dracula.txt:5597
a-keepin	dracula.txt:10654
a-lookin	dracula.txt:5615
a-many	dracula.txt:10647
a-piece	moby_dick.txt:2034
a-plenty	moby_dick.txt:7122
a-preachin	moby_dick.txt:11759
a-puffin	dracula.txt:10747
a-rush	moby_dick.txt:7613
a-shining	dracula.txt:5679
a-shiverin	dracula.txt:5676
a-talkin	dracula.txt:5601
a-tearin	dracula.txt:5583
a-trembling	dracula.txt:6852
a-waitin	dracula.txt:10738
a-walkin	dracula.txt:5681
a-whalin	moby_dick.txt:1269
a-whaling	moby_dick.txt:18689, moby_dick.txt:3367, moby_dick.txt:3421, moby_dick.txt:3448, moby_dick.txt:1174
a-’idin	dracula.txt:5675, dracula.txt:5665
a-’owling	dracula.txt:5618
a.d	moby_dick.txt:451, moby_dick.txt:17746, moby_dick.txt:554, moby_dick.txt:756, moby_dick.txt:565, moby_dick.txt:5679, moby_dick.txt:5603, moby_dick.txt:10585, moby_dick.txt:14460, moby_dick.txt:572, moby_dick.txt:5598, moby_dick.txt:15408
a.s	moby_dick.txt:358
aback	moby_dick.txt:5467, moby_dick.txt:12397, dracula.txt:6536
abaft	dracula.txt:2678, dracula.txt:3021, moby_dick.txt:9727, moby_dick.txt:15809
abandon	moby_dick.txt:8553, moby_dick.txt:15466, moby_dick.txt:939, dracula.txt:6796
abandoned	dracula.txt:1864, dracula.txt:5023, moby_dick.txt:19926, moby_dick.txt:15465, moby_dick.txt:9136, moby_dick.txt:15460, moby_dick.txt:20466, moby_dick.txt:16147, moby_dick.txt:15476
abandonedly	moby_dick.txt:5261
abandonment	moby_dick.txt:16179, moby_dick.txt:7612
abased	moby_dick.txt:5064, moby_dick.txt:6166
abasement	moby_dick.txt:5043, dracula.txt:12104
abashed	moby_dick.txt:19788, moby_dick.txt:4105
abate	moby_dick.txt:21750
abated	moby_dick.txt:19581, moby_dick.txt:18842, moby_dick.txt:12811, dracula.txt:15252
abatement	pride_prejudice.txt:4954, moby_dick.txt:11113
abating	moby_dick.txt:14982, moby_dick.txt:11439, dracula.txt:3409, dracula.txt:3259
abbey	dracula.txt:2552, dracula.txt:2617, dracula.txt:3688, dracula.txt:3673, dracula.txt:2593, dracula.txt:2771, dracula.txt:3807, dracula.txt:3519, dracula.txt:3820, pride_prejudice.txt:111
abbreviate	moby_dick.txt:21034
abbreviation	moby_dick.txt:16041
abeam	moby_dick.txt:12380
abed	moby_dick.txt:1788, moby_dick.txt:1820, dracula.txt:5891
abednego	moby_dick.txt:16564
abel	moby_dick.txt:7235
abhorred	moby_dick.txt:8573, moby_dick.txt:18682, moby_dick.txt:7496, dracula.txt:9715, dracula.txt:7928
abhorrence	pride_prejudice.txt:12205, pride_prejudice.txt:5496, pride_prejudice.txt:7659, pride_prejudice.txt:7976, moby_dick.txt:11950
abhorrent	moby_dick.txt:7679, pride_prejudice.txt:12775
abhorring	moby_dick.txt:18683
abide	moby_dick.txt:21129, moby_dick.txt:20340, moby_dick.txt:22011, moby_dick.txt:13339, dracula.txt:14742, dracula.txt:15550, pride_prejudice.txt:8271
abided	moby_dick.txt:18047
abiding	moby_dick.txt:5036, pride_prejudice.txt:8403
abilities	pride_prejudice.txt:3818, pride_prejudice.txt:5284, pride_prejudice.txt:8137, pride_prejudice.txt:9164, pride_prejudice.txt:7468, pride_prejudice.txt:3763
ability	pride_prejudice.txt:187, moby_dick.txt:15430, dracula.txt:1293
abjectly	moby_dick.txt:16916
abjectus	moby_dick.txt:6214
ablaze	dracula.txt:7466
